58214,52301,2557,Afghanistan,Kabul,2021/04/21 17:21:00+00
129842,102601,2353,Albania,Tirana,2021/04/21 17:21:00+00
119992,83636,3165,Algeria,Alger,2021/04/21 17:21:00+00
12917,12334,123,Andorra,Andorra la Vella,2021/04/21 17:21:00+00
24661,22647,565,Angola,Luanda,2021/04/21 17:21:00+00
1217,995,31,Antigua and Barbuda,Saint John's,2021/04/21 17:21:00+00
2743620,2407853,59792,Argentina,Buenos Aires,2021/04/21 17:21:00+00
210518,190271,3944,Armenia,Yerevan,2021/04/21 17:21:00+00
29578,23178,910,Australia,Canberra,
600089,563256,9997,Austria,Wien,2021/04/21 17:21:00+00
305933,269965,4235,Azerbaijan,Baku,2021/04/21 17:21:00+00
9800,9059,194,Bahamas,Nassau,2021/04/21 17:21:00+00
166157,154711,605,Bahrain,al-Manama,2021/04/21 17:21:00+00
732060,635183,10683,Bangladesh,Dhaka,2021/04/21 17:21:00+00
3793,3692,44,Barbados,Bridgetown,2021/04/21 17:21:00+00
347316,337620,2453,Belarus,Minsk,2021/04/21 17:21:00+00
955056,0,23834,Belgium,Bruxelles [Brussel],
12568,12161,318,Belize,Belmopan,2021/04/21 17:21:00+00
7720,7510,97,Benin,Porto-Novo,2021/04/21 17:21:00+00
986,883,1,Bhutan,Thimphu,2021/04/21 17:21:00+00
291675,240336,12695,Bolivia,La Paz,2021/04/21 17:21:00+00
193115,150458,8082,Bosnia and Herzegovina,Sarajevo,2021/04/21 17:21:00+00
44702,39733,684,Botswana,Gaborone,2021/04/21 17:21:00+00
14043076,12425791,378003,Brazil,Brasília,
223,210,3,Brunei,Bandar Seri Begawan,2021/04/21 17:21:00+00
390911,314273,15518,Bulgaria,Sofia,2021/04/21 17:21:00+00
13167,12812,155,Burkina Faso,Ouagadougou,2021/04/21 17:21:00+00
142661,131908,3206,Burma,,2021/04/21 17:21:00+00
3643,773,6,Burundi,Bujumbura,2021/04/21 17:21:00+00
20781,18350,194,Cabo Verde,,2021/04/21 17:21:00+00
7444,2555,49,Cambodia,Phnom Penh,2021/04/21 17:21:00+00
64809,35261,939,Cameroon,Yaound,2021/04/21 17:21:00+00
1150318,1040727,23719,Canada,Ottawa,
5929,5112,79,Central African Republic,Bangui,2021/04/21 17:21:00+00
4723,4353,169,Chad,N'Djam,2021/04/21 17:21:00+00
1141403,1074827,25353,Chile,Santiago de Chile,
102294,96946,4845,China,Peking,
2684101,2505738,69177,Colombia,Santaf,
3822,3645,146,Comoros,Moroni,2021/04/21 17:21:00+00
10084,8208,139,Congo (Brazzaville),,2021/04/21 17:21:00+00
29084,26108,748,Congo (Kinshasa),,2021/04/21 17:21:00+00
231967,199166,3104,Costa Rica,San Jos,2021/04/21 17:21:00+00
45614,45199,275,Cote d'Ivoire,Yamoussoukro,2021/04/21 17:21:00+00
313423,291351,6692,Croatia,Zagreb,2021/04/21 17:21:00+00
96760,91034,547,Cuba,La Habana,2021/04/21 17:21:00+00
58022,39061,295,Cyprus,Nicosia,2021/04/21 17:21:00+00
1609861,1517774,28711,Czechia,Praha,2021/04/21 17:21:00+00
245562,233590,2466,Denmark,Copenhagen,2021/04/21 17:21:00+00
712,699,13,Diamond Princess,,2021/04/21 17:21:00+00
10557,9607,123,Djibouti,Djibouti,2021/04/21 17:21:00+00
172,165,0,Dominica,Roseau,2021/04/21 17:21:00+00
262404,219645,3435,Dominican Republic,Santo Domingo de Guzm,2021/04/21 17:21:00+00
361154,309541,17744,Ecuador,Quito,2021/04/21 17:21:00+00
218041,164368,12820,Egypt,Cairo,2021/04/21 17:21:00+00
67851,63982,2086,El Salvador,San Salvador,2021/04/21 17:21:00+00
7505,7016,106,Equatorial Guinea,Malabo,2021/04/21 17:21:00+00
3548,3341,10,Eritrea,Asmara,2021/04/21 17:21:00+00
118789,104653,1109,Estonia,Tallinn,2021/04/21 17:21:00+00
18417,17718,671,Eswatini,,2021/04/21 17:21:00+00
245155,181935,3439,Ethiopia,Addis Abeba,2021/04/21 17:21:00+00
78,65,2,Fiji,Suva,2021/04/21 17:21:00+00
84797,46000,899,Finland,Helsinki [Helsingfors],2021/04/21 17:21:00+00
5435309,332640,102040,France,Paris,2021/04/21 17:21:00+00
22032,18706,136,Gabon,Libreville,2021/04/21 17:21:00+00
5784,5225,170,Gambia,Banjul,2021/04/21 17:21:00+00
299038,282869,3971,Georgia,Tbilisi,2021/04/21 17:21:00+00
3198534,2832510,80720,Germany,Berlin,
91783,89661,772,Ghana,Accra,2021/04/21 17:21:00+00
320629,93764,9627,Greece,Athenai,2021/04/21 17:21:00+00
157,154,1,Grenada,Saint George's,2021/04/21 17:21:00+00
214700,192519,7279,Guatemala,Ciudad de Guatemala,2021/04/21 17:21:00+00
21633,18991,139,Guinea,Conakry,2021/04/21 17:21:00+00
3713,3170,66,Guinea-Bissau,Bissau,2021/04/21 17:21:00+00
11972,10297,273,Guyana,Georgetown,2021/04/21 17:21:00+00
12918,11791,251,Haiti,Port-au-Prince,2021/04/21 17:21:00+00
27,15,0,Holy See,Citt,2021/04/21 17:21:00+00
202413,76446,4976,Honduras,Tegucigalpa,2021/04/21 17:21:00+00
757360,464750,25787,Hungary,Budapest,2021/04/21 17:21:00+00
6362,6213,29,Iceland,Reykjav,2021/04/21 17:21:00+00
15616130,13276039,182553,India,New Delhi,
1620569,1475456,44007,Indonesia,Jakarta,2021/04/21 17:21:00+00
2311813,1823958,67913,Iran,Tehran,2021/04/21 17:21:00+00
1001854,877309,15098,Iraq,Baghdad,2021/04/21 17:21:00+00
244695,23364,4856,Ireland,Dublin,2021/04/21 17:21:00+00
837479,829117,6346,Israel,Jerusalem,2021/04/21 17:21:00+00
3904899,3311267,117997,Italy,Roma,
44254,19962,738,Jamaica,Kingston,2021/04/21 17:21:00+00
547759,488788,9735,Japan,Tokyo,
695390,654493,8429,Jordan,Amman,2021/04/21 17:21:00+00
346971,303437,3297,Kazakhstan,Astana,2021/04/21 17:21:00+00
153488,105279,2540,Kenya,Nairobi,2021/04/21 17:21:00+00
115926,105877,1806,"Korea, South",Seoul,2021/04/21 17:21:00+00
101832,88164,2105,Kosovo,,2021/04/21 17:21:00+00
259868,243056,1468,Kuwait,Kuwait,2021/04/21 17:21:00+00
92626,87390,1561,Kyrgyzstan,Bishkek,2021/04/21 17:21:00+00
60,49,0,Laos,Vientiane,2021/04/21 17:21:00+00
112983,102596,2079,Latvia,Riga,2021/04/21 17:21:00+00
513006,432548,6995,Lebanon,Beirut,2021/04/21 17:21:00+00
10720,5868,316,Lesotho,Maseru,2021/04/21 17:21:00+00
2091,1936,85,Liberia,Monrovia,2021/04/21 17:21:00+00
173683,158891,2924,Libya,Tripoli,2021/04/21 17:21:00+00
2836,2698,56,Liechtenstein,Vaduz,2021/04/21 17:21:00+00
236533,213970,3802,Lithuania,Vilnius,2021/04/21 17:21:00+00
65604,61791,788,Luxembourg,Luxembourg [Luxemburg/L,2021/04/21 17:21:00+00
9,7,2,MS Zaandam,,2021/04/21 17:21:00+00
33592,26610,569,Madagascar,Antananarivo,2021/04/21 17:21:00+00
33968,31810,1142,Malawi,Lilongwe,2021/04/21 17:21:00+00
381813,358726,1400,Malaysia,Kuala Lumpur,2021/04/21 17:21:00+00
26667,23803,71,Maldives,Male,2021/04/21 17:21:00+00
13246,7613,444,Mali,Bamako,2021/04/21 17:21:00+00
30063,29130,411,Malta,Valletta,2021/04/21 17:21:00+00
4,4,0,Marshall Islands,Dalap-Uliga-Darrit,2021/04/21 17:21:00+00
18156,17519,454,Mauritania,Nouakchott,2021/04/21 17:21:00+00
1204,987,15,Mauritius,Port-Louis,2021/04/21 17:21:00+00
2311172,1765244,213048,Mexico,Ciudad de M,
1,1,0,Micronesia,,2021/04/21 17:21:00+00
246691,233281,5616,Moldova,Chisinau,2021/04/21 17:21:00+00
2413,2306,31,Monaco,Monaco-Ville,2021/04/21 17:21:00+00
25364,13346,56,Mongolia,Ulan Bator,2021/04/21 17:21:00+00
96048,91679,1444,Montenegro,,2021/04/21 17:21:00+00
506669,492725,8959,Morocco,Rabat,2021/04/21 17:21:00+00
69309,62323,802,Mozambique,Maputo,2021/04/21 17:21:00+00
46954,45039,609,Namibia,Windhoek,2021/04/21 17:21:00+00
289787,276093,3112,Nepal,Kathmandu,2021/04/21 17:21:00+00
1450983,21845,17201,Netherlands,Amsterdam,
2599,2490,26,New Zealand,Wellington,2021/04/21 17:21:00+00
6835,4225,181,Nicaragua,Managua,2021/04/21 17:21:00+00
5140,4795,191,Niger,Niamey,2021/04/21 17:21:00+00
164423,154406,2061,Nigeria,Abuja,2021/04/21 17:21:00+00
148618,125593,4556,North Macedonia,Skopje,2021/04/21 17:21:00+00
108839,17998,734,Norway,Oslo,2021/04/21 17:21:00+00
183770,163750,1926,Oman,Masqat,2021/04/21 17:21:00+00
772381,672619,16600,Pakistan,Islamabad,
361319,351228,6192,Panama,Ciudad de Panam,2021/04/21 17:21:00+00
9952,846,91,Papua New Guinea,Port Moresby,2021/04/21 17:21:00+00
255046,209754,5470,Paraguay,Asunci,2021/04/21 17:21:00+00
1719088,1645100,57954,Peru,Lima,
962307,829608,16265,Philippines,Manila,2021/04/21 17:21:00+00
2718493,2366230,63473,Poland,Warszawa,2021/04/21 17:21:00+00
832255,790650,16952,Portugal,Lisboa,2021/04/21 17:21:00+00
198361,175431,391,Qatar,Doha,2021/04/21 17:21:00+00
1037009,954868,26793,Romania,Bucuresti,2021/04/21 17:21:00+00
