121866,84940,3244,Algeria,Alger,2021/04/30 12:20:56+00
118558,107701,2131,Latvia,Riga,2021/04/30 12:20:56+00
112541,17998,754,Norway,Oslo,2021/04/30 12:20:56+00
106484,95445,661,Sri Lanka,,2021/04/30 12:20:56+00
105661,99630,632,Cuba,La Habana,2021/04/30 12:20:56+00
103638,91211,2134,Kosovo,,2021/04/30 12:20:56+00
102478,97153,4845,China,Peking,
97257,93369,1492,Montenegro,,2021/04/30 12:20:56+00
95275,89191,1604,Kyrgyzstan,Bishkek,2021/04/30 12:20:56+00
92562,90196,779,Ghana,Accra,2021/04/30 12:20:56+00
91533,89852,1250,Zambia,Lusaka,2021/04/30 12:20:56+00
90808,87067,649,Uzbekistan,Toskent,2021/04/30 12:20:56+00
86808,46000,913,Finland,Helsinki [Helsingfors],2021/04/30 12:20:56+00
72250,35261,1107,Cameroon,Yaound,2021/04/30 12:20:56+00
69864,64541,814,Mozambique,Maputo,2021/04/30 12:20:56+00
69198,64876,2124,El Salvador,San Salvador,2021/04/30 12:20:56+00
67045,63448,794,Luxembourg,Luxembourg [Luxemburg/L,2021/04/30 12:20:56+00
65233,39061,308,Cyprus,Nicosia,2021/04/30 12:20:56+00
65153,26873,203,Thailand,Bangkok,2021/04/30 12:20:56+00
61145,60718,30,Singapore,Singapore,2021/04/30 12:20:56+00
59745,53204,2625,Afghanistan,Kabul,2021/04/30 12:20:56+00
48177,45909,638,Namibia,Windhoek,2021/04/30 12:20:56+00
46934,44960,712,Botswana,Gaborone,2021/04/30 12:20:56+00
45998,45498,286,Cote d'Ivoire,Yamoussoukro,2021/04/30 12:20:56+00
45414,20945,770,Jamaica,Kingston,2021/04/30 12:20:56+00
41797,41422,342,Uganda,Kampala,2021/04/30 12:20:56+00
40344,39083,1107,Senegal,Dakar,2021/04/30 12:20:56+00
38235,35594,1567,Zimbabwe,Harare,2021/04/30 12:20:56+00
37014,31570,643,Madagascar,Antananarivo,2021/04/30 12:20:56+00
35979,19642,110,Mongolia,Ulan Bator,2021/04/30 12:20:56+00
34062,32023,1148,Malawi,Lilongwe,2021/04/30 12:20:56+00
33944,26795,2349,Sudan,Khartum,2021/04/30 12:20:56+00
30292,29548,413,Malta,Valletta,2021/04/30 12:20:56+00
