120673,110248,1821,"Korea, South",Seoul,2021/04/28 18:20:57+00
117099,106353,2118,Latvia,Riga,2021/04/28 18:20:57+00
111915,17998,753,Norway,Oslo,2021/04/28 18:20:57+00
104953,95083,661,Sri Lanka,,2021/04/28 18:20:57+00
104512,98536,614,Cuba,La Habana,2021/04/28 18:20:57+00
103638,91211,2134,Kosovo,,2021/04/28 18:20:57+00
102426,97106,4845,China,Peking,
97080,93188,1485,Montenegro,,2021/04/28 18:20:57+00
94599,88658,1592,Kyrgyzstan,Bishkek,2021/04/28 18:20:57+00
92464,90103,779,Ghana,Accra,2021/04/28 18:20:57+00
91484,89743,1249,Zambia,Lusaka,2021/04/28 18:20:57+00
90008,86449,646,Uzbekistan,Toskent,2021/04/28 18:20:57+00
86405,46000,908,Finland,Helsinki [Helsingfors],2021/04/28 18:20:57+00
69804,64541,814,Mozambique,Maputo,2021/04/28 18:20:57+00
68922,64667,2117,El Salvador,San Salvador,2021/04/28 18:20:57+00
66826,63175,792,Luxembourg,Luxembourg [Luxemburg/L,2021/04/28 18:20:57+00
65998,35261,991,Cameroon,Yaound,2021/04/28 18:20:57+00
63720,39061,303,Cyprus,Nicosia,2021/04/28 18:20:57+00
61699,26873,178,Thailand,Bangkok,2021/04/28 18:20:57+00
61086,60718,30,Singapore,Singapore,2021/04/28 18:20:57+00
59370,52974,2611,Afghanistan,Kabul,2021/04/28 18:20:57+00
48177,45909,638,Namibia,Windhoek,2021/04/28 18:20:57+00
46600,44740,702,Botswana,Gaborone,2021/04/28 18:20:57+00
45885,45451,285,Cote d'Ivoire,Yamoussoukro,2021/04/28 18:20:57+00
45292,20842,770,Jamaica,Kingston,2021/04/28 18:20:57+00
41766,40898,341,Uganda,Kampala,2021/04/28 18:20:57+00
40249,38991,1107,Senegal,Dakar,2021/04/28 18:20:57+00
38164,35480,1565,Zimbabwe,Harare,2021/04/28 18:20:57+00
36510,30070,631,Madagascar,Antananarivo,2021/04/28 18:20:57+00
34031,31953,1147,Malawi,Lilongwe,2021/04/28 18:20:57+00
33944,26795,2349,Sudan,Khartum,2021/04/28 18:20:57+00
32437,17543,88,Mongolia,Ulan Bator,2021/04/28 18:20:57+00
30249,29462,413,Malta,Valletta,2021/04/28 18:20:57+00
29768,26172,763,Congo (Kinshasa),,2021/04/28 18:20:57+00
29749,23267,910,Australia,Canberra,
28588,24499,71,Maldives,Male,2021/04/28 18:20:57+00
25942,23341,587,Angola,Luanda,2021/04/28 18:20:57+00
24814,23089,331,Rwanda,Kigali,2021/04/28 18:20:57+00
22772,19715,211,Cabo Verde,,2021/04/28 18:20:57+00
22568,19173,138,Gabon,Libreville,2021/04/28 18:20:57+00
22389,16283,1559,Syria,Damascus,2021/04/28 18:20:57+00
22087,19558,141,Guinea,Conakry,2021/04/28 18:20:57+00
18448,17741,671,Eswatini,,2021/04/28 18:20:57+00
18314,17620,455,Mauritania,Nouakchott,2021/04/28 18:20:57+00
13915,5847,713,Somalia,Mogadishu,2021/04/28 18:20:57+00
13722,8313,476,Mali,Bamako,2021/04/28 18:20:57+00
13308,13218,90,Tajikistan,Dushanbe,2021/04/28 18:20:57+00
13286,13000,157,Burkina Faso,Ouagadougou,2021/04/28 18:20:57+00
13148,12590,125,Andorra,Andorra la Vella,2021/04/28 18:20:57+00
13017,12143,254,Haiti,Port-au-Prince,2021/04/28 18:20:57+00
12884,10927,122,Togo,Lom,2021/04/28 18:20:57+00
12826,10944,291,Guyana,Georgetown,2021/04/28 18:20:57+00
12631,12193,322,Belize,Belmopan,2021/04/28 18:20:57+00
11063,3704,82,Cambodia,Phnom Penh,2021/04/28 18:20:57+00
10931,10510,142,Djibouti,Djibouti,2021/04/28 18:20:57+00
